Torus      N      ρ_x          δ_x/π      ρ_y          δ_y/π     
4×8     24     0.500000     0.500      0.500000     1.000     
4×8     24     0.500000     0.500      0.500000     0.000     
4×8     24     0.500000     1.500      0.500000     1.500     
4×8     24     0.500000     1.500      0.500000     0.500     
4×8     24     0.933013     0.000      0.500000     0.500     
4×8     24     0.066987     0.000      0.500000     1.500     
4×8     24     0.066987     0.000      0.500000     0.500     
4×8     24     0.500000     1.500      0.500000     1.000     
4×8     24     0.500000     1.500      0.500000     0.000     
4×8     24     0.933013     0.000      0.500000     1.500     
4×8     24     0.933013     0.000      0.500000     0.000     
4×8     24     0.500000     0.500      0.500000     1.500     
4×8     24     0.066987     0.000      0.500000     1.000     
4×8     24     0.500000     0.500      0.500000     0.500     
4×8     24     0.066987     0.000      0.500000     0.000     
8×3     24     0.500000     1.000      0.666667     0.667     
8×3     24     0.500000     0.000      0.666667     1.333     
8×3     24     0.500000     1.500      0.089316     0.000     
8×3     24     0.500000     0.000      0.666667     0.667     
8×3     24     0.500000     0.000      0.089316     0.000     
8×3     24     0.500000     1.000      0.666667     1.333     
8×3     24     0.500000     1.000      0.089316     0.000     
8×3     24     0.500000     0.500      0.666667     0.667     
8×3     24     0.500000     1.500      0.666667     1.333     
8×3     24     0.500000     1.500      0.666667     0.667     
8×3     24     0.500000     0.500      0.666667     1.333     
8×3     24     0.500000     0.500      0.089316     0.000     
8×4     24     0.500000     0.500      0.500000     1.500     
8×4     24     0.500000     0.500      0.500000     0.500     
8×4     24     0.500000     0.500      0.933013     0.000     
8×4     24     0.500000     1.000      0.066987     0.000     
8×4     24     0.500000     1.500      0.500000     0.500     
8×4     24     0.500000     0.500      0.066987     0.000     
8×4     24     0.500000     0.000      0.500000     1.500     
8×4     24     0.500000     0.000      0.500000     0.500     
8×4     24     0.500000     0.000      0.933013     0.000     
8×4     24     0.500000     1.500      0.500000     1.500     
8×4     24     0.500000     1.000      0.500000     0.500     
8×4     24     0.500000     0.000      0.066987     0.000     
8×4     24     0.500000     1.500      0.933013     0.000     
8×4     24     0.500000     1.500      0.066987     0.000     
8×4     24     0.500000     1.000      0.500000     1.500     
8×4     24     0.500000     1.000      0.933013     0.000     
8×8     24     0.500000     0.500      0.500000     1.000     
8×8     24     0.500000     0.000      0.500000     1.500     
8×8     24     0.500000     0.000      0.500000     0.000     
8×8     24     0.500000     1.500      0.500000     1.000     
8×8     24     0.500000     1.500      0.500000     0.000     
8×8     24     0.500000     1.000      0.500000     1.500     
8×8     24     0.500000     1.000      0.500000     0.500     
8×8     24     0.500000     0.000      0.500000     1.000     
8×8     24     0.500000     0.500      0.500000     0.500     
8×8     24     0.500000     1.000      0.500000     1.000     
8×8     24     0.500000     1.000      0.500000     0.000     
8×8     24     0.500000     0.500      0.500000     1.500     
8×8     24     0.500000     0.500      0.500000     0.000     
8×8     24     0.500000     0.000      0.500000     0.500     
8×8     24     0.500000     1.500      0.500000     1.500     
8×8     24     0.500000     1.500      0.500000     0.500     
